"inventory_type_id","inventory_type_description","min_order_qty","price_per_unit","inventory_sub_type","discount","min_variance","max_variance","auto_renewal_flag","erp_inventory_id","pickup_location_id","umo_value","category","face_value","min_variance_disc","max_variance_disc","tax_plan","dealer_discount","return_policy","due_date","ziada_points","esd_signature","batch_size","prefix","serial_counter","pallet_size","available","w_period","prod_family","price_group","work_category","equip_type","used_stock","sim_card","item_type","vendor_id","type_id","damage_code","service_code","v_item_type","used_item_code","w_avg_ucost","calc_wac","quantity","add_date","prevwavg_ucost","mod_date","v_item_code","v_item_no","available_date","expiry_date","consigment_po","status","DEPOSIT_PRICE","ADD_BY","MOD_BY","national_material_code","wg_material_code","SUB_CATEGORY","weight","return_flag","color","size","is_bundle","parent_id","send_to_bi","remarks"
124.0,asmhdAD,1.0,50.0,L,0.0,0.0,0.0,N,KASJFLKHDF,,,etopup,,,,65.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-20 05:48:33.000,,,,,2022-06-19 23:00:00.000,2099-12-30 23:00:00.000,,,,aadmin,,,,Non Voucher Product,1000,N,black,"",,,,
125.0,adfgd,1.0,230.0,P,0.0,0.0,0.0,Y,FSDF,,,device,,,,66.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-20 06:12:00.000,,,,,2022-06-19 23:00:00.000,2099-12-30 23:00:00.000,,,,aadmin,,,,Non Voucher Product,560,Y,bnb,"",,,,
126.0,evd voucher,1.0,50.0,L,0.0,0.0,0.0,N,"8909",,,evd voucher,,,,101.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-20 07:59:12.000,,,,,2022-06-19 23:00:00.000,2099-12-30 23:00:00.000,,,,aadmin,,,,Voucher Product,1,Y,"","",,,,
127.0,Neon Phone,1.0,20000.0,P,0.0,0.0,0.0,Y,NMKJH8U9,,,device,,,,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-20 08:01:20.000,,,,,2022-06-19 23:00:00.000,2099-12-30 23:00:00.000,,,,aadmin,,,,Non Voucher Product,1,Y,"","",,,,
128.0,Earpods,1.0,2000.0,P,0.0,0.0,0.0,N,"978",,,device,,,,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-20 08:05:09.000,,,,,2022-06-19 23:00:00.000,2099-12-30 23:00:00.000,,,,aadmin,,,,Non Voucher Product,1,Y,"","",,,,
130.0,Bamba 5000,1.0,5000.0,P,0.0,0.0,0.0,Y,"123000",,,physical voucher,,,,110.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-28 16:09:11.000,,,,,2022-06-28 02:00:00.000,2099-12-31 02:00:00.000,,,,aadmin,,,,Voucher Product,1,Y,"","",,,,
131.0,Samsung 4G black,1.0,1600.0,P,1.0,,,Y,DEV0042,,,device,,,,171.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-06-29 11:54:16.000,,2022-06-29 11:55:22.000,,,2022-06-29 02:00:00.000,2099-12-31 02:00:00.000,,,,aadmin,,,,Non Voucher Product,1,Y,black,"","",,,
136.0,Ethiopia Micro Sim card,1.0,50.0,P,2.0,0.0,0.0,Y,ETA00011,,,sim,,,,157.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-08 10:41:15.000,,,,,2022-07-08 02:00:00.000,2099-12-31 02:00:00.000,,,,aadmin,,,,Non Voucher Product,1,Y,Green,"1",,,,
253.0,Samsung1234,1.0,15000.0,P,0.0,0.0,0.0,Y,"3290",,,device,,,,189.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-12 14:45:38.000,,,,,2022-07-12 02:00:00.000,2099-12-31 02:00:00.000,,,,aadmin,,,,Non Voucher Product,1,Y,"","",,,,
258.0,TestInventory,,100.0,L,0.0,,,Y,test,,,payment,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-13 11:04:44.000,,,,,2022-07-13 11:04:44.000,2100-01-31 00:00:01.000,,1,0,erp,,,,Non Voucher Product,1,N,,,,,,
259.0,TestInventory,,100.0,L,0.0,,,Y,test1,,,payment,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-13 11:05:24.000,,,,,2022-07-13 11:05:24.000,2100-01-31 00:00:01.000,,1,0,erp,,,,Non Voucher Product,1,N,,,,,,
375.0,"40 SMS",1.0,,L,0.0,0.0,0.0,N,"232",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-13 16:28:06.000,,,,,2022-07-13 02:00:00.000,2122-07-13 02:00:00.000,,,,LoadShopuser491,,,,,1,,,,,,,
376.0,"20 Mins On-net",1.0,,L,0.0,0.0,0.0,N,"259",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-13 16:32:46.000,,,,,2022-07-13 02:00:00.000,2122-07-13 02:00:00.000,,,,LoadShopuser491,,,,,1,,,,,,,
377.0,"Daily Welcome offer with 5GB data, 60 min voice and 500 SMSs",1.0,,L,0.0,0.0,0.0,N,"131",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-13 17:27:19.000,,,,,2022-07-13 02:00:00.000,2122-07-13 02:00:00.000,,,,atadesse,,,,,1,,,,,,,
378.0,"10240 MB_One_off",1.0,,L,0.0,0.0,0.0,N,"287",,,crm,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2022-07-13 18:38:09.000,,,,,2022-07-13 02:00:00.000,2122-07-13 02:00:00.000,,,,atadesse,,,,,1,,,,,,,
